E:\ACV_Classification\venv\Scripts\python.exe E:\ACV_Classification\main.py
E:\ACV_Classification\venv\lib\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
E:\ACV_Classification\venv\lib\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet101_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet101_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Epoch: [1][1300/3541]	Batch Time 0.125 (0.126)	Data Load Time 0.029 (0.030)	Loss 1.7422 (1.5628)	Accuracy 56.250 (55.846)
Epoch: [1][1400/3541]	Batch Time 0.126 (0.126)	Data Load Time 0.030 (0.030)	Loss 1.2790 (1.5649)	Accuracy 56.250 (55.835)
Epoch: [1][1500/3541]	Batch Time 0.128 (0.126)	Data Load Time 0.030 (0.030)	Loss 1.5693 (1.5621)	Accuracy 43.750 (55.906)
Epoch: [1][1600/3541]	Batch Time 0.127 (0.126)	Data Load Time 0.030 (0.030)	Loss 1.2914 (1.5626)	Accuracy 62.500 (55.889)
Epoch: [1][1700/3541]	Batch Time 0.125 (0.126)	Data Load Time 0.029 (0.030)	Loss 1.3612 (1.5628)	Accuracy 68.750 (55.861)
Epoch: [1][1800/3541]	Batch Time 0.126 (0.126)	Data Load Time 0.030 (0.030)	Loss 1.7869 (1.5609)	Accuracy 46.875 (55.939)
Epoch: [1][1900/3541]	Batch Time 0.125 (0.126)	Data Load Time 0.028 (0.030)	Loss 1.6342 (1.5604)	Accuracy 50.000 (55.921)
Epoch: [1][2000/3541]	Batch Time 0.127 (0.126)	Data Load Time 0.030 (0.030)	Loss 1.3634 (1.5581)	Accuracy 59.375 (55.997)
Epoch: [1][2100/3541]	Batch Time 0.126 (0.126)	Data Load Time 0.029 (0.030)	Loss 2.1038 (1.5575)	Accuracy 37.500 (56.046)
Epoch: [1][2200/3541]	Batch Time 0.128 (0.126)	Data Load Time 0.033 (0.030)	Loss 1.3248 (1.5570)	Accuracy 62.500 (56.014)
Epoch: [1][2300/3541]	Batch Time 0.130 (0.126)	Data Load Time 0.034 (0.030)	Loss 1.6414 (1.5582)	Accuracy 46.875 (56.006)
Epoch: [1][2400/3541]	Batch Time 0.128 (0.127)	Data Load Time 0.032 (0.030)	Loss 1.8965 (1.5592)	Accuracy 56.250 (55.979)
Epoch: [1][2500/3541]	Batch Time 0.131 (0.127)	Data Load Time 0.034 (0.030)	Loss 1.4841 (1.5579)	Accuracy 53.125 (56.020)
Epoch: [1][2600/3541]	Batch Time 0.129 (0.127)	Data Load Time 0.033 (0.030)	Loss 1.6546 (1.5564)	Accuracy 59.375 (56.049)
Epoch: [1][2700/3541]	Batch Time 0.131 (0.127)	Data Load Time 0.035 (0.031)	Loss 1.5567 (1.5543)	Accuracy 56.250 (56.118)
Epoch: [1][2800/3541]	Batch Time 0.130 (0.127)	Data Load Time 0.034 (0.031)	Loss 2.3794 (1.5529)	Accuracy 34.375 (56.156)
Epoch: [1][2900/3541]	Batch Time 0.131 (0.127)	Data Load Time 0.035 (0.031)	Loss 0.8962 (1.5510)	Accuracy 75.000 (56.209)
Epoch: [1][3000/3541]	Batch Time 0.132 (0.127)	Data Load Time 0.035 (0.031)	Loss 1.4209 (1.5521)	Accuracy 50.000 (56.180)
Epoch: [1][3100/3541]	Batch Time 0.131 (0.127)	Data Load Time 0.036 (0.031)	Loss 1.8446 (1.5515)	Accuracy 50.000 (56.178)
Epoch: [1][3200/3541]	Batch Time 0.131 (0.128)	Data Load Time 0.035 (0.031)	Loss 1.6696 (1.5506)	Accuracy 50.000 (56.210)
Epoch: [1][3300/3541]	Batch Time 0.131 (0.128)	Data Load Time 0.035 (0.031)	Loss 1.3535 (1.5509)	Accuracy 65.625 (56.179)
Epoch: [1][3400/3541]	Batch Time 0.133 (0.128)	Data Load Time 0.038 (0.032)	Loss 1.4495 (1.5510)	Accuracy 59.375 (56.166)
Epoch: [1][3500/3541]	Batch Time 0.134 (0.128)	Data Load Time 0.036 (0.032)	Loss 1.3729 (1.5506)	Accuracy 75.000 (56.156)
Validation: [0/157]	Batch Time 0.134 (0.134)	Loss 1.2022 (1.2022)	Accuracy 56.250 (56.250)
Validation: [100/157]	Batch Time 0.131 (0.128)	Loss 1.3411 (1.4405)	Accuracy 68.750 (59.189)

 * LOSS - 1.448, ACCURACY - 58.818

Epoch: [2][0/3541]	Batch Time 0.293 (0.293)	Data Load Time 0.036 (0.036)	Loss 1.4875 (1.4875)	Accuracy 59.375 (59.375)
Epoch: [2][100/3541]	Batch Time 0.126 (0.127)	Data Load Time 0.031 (0.029)	Loss 1.5888 (1.4639)	Accuracy 53.125 (57.302)
Epoch: [2][200/3541]	Batch Time 0.125 (0.126)	Data Load Time 0.029 (0.029)	Loss 1.2490 (1.4703)	Accuracy 68.750 (57.572)
